FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_SLOPE.,TARRAWAR,TAR_PROFCU,TAR_ASPECT,TAR_PLANCU,TAR_MCURV.
2,1020,1020,49.00000000,0.07606984,101.98000336,0.00050931,3.47579026,0.00069125,0.00120056
2,1020,1030,47.30000000,0.06743288,102.65000153,0.00077627,3.61849236,0.00122385,0.00200012
2,1040,1020,50.10000000,0.07554635,102.43000031,0.00037219,3.40899849,0.00002789,0.00040009
2,1040,1010,47.60000000,0.08687814,101.65000153,0.00103442,3.36150146,0.00056592,0.00160034
2,1040,1000,49.70000000,0.10529222,100.70999908,0.00178129,3.25538778,0.00101840,0.00279968
2,1040,990,49.30000000,0.12146478,99.55999756,0.00075371,3.17436862,0.00084572,0.00159943
2,1040,980,49.50000000,0.12835258,98.30000305,0.00045004,3.11059403,0.00075052,0.00120056
2,1040,970,48.10000000,0.14252961,96.94999695,0.00133018,3.05787086,0.00066933,0.00199951
2,1040,960,49.90000000,0.15576273,95.44999695,0.00089064,3.02671576,0.00070878,0.00159943
2,1040,950,47.90000000,0.15793456,93.86000061,-0.00083738,3.01568198,0.00003721,-0.00080017
2,1040,940,48.80000000,0.14875028,92.31999969,-0.00124997,3.03461790,0.00005001,-0.00119995
2,1040,930,53.40000000,0.14075594,90.87000275,-0.00124694,3.04262638,0.00004729,-0.00119965
2,1040,920,46.90000000,0.12356447,89.51999664,-0.00331528,3.08520103,-0.00028518,-0.00360046
2,1040,910,48.20000000,0.08615755,88.44999695,-0.00441564,3.23435092,-0.00118494,-0.00560059
2,1040,900,56.70000000,0.04883837,87.81999969,-0.00203700,3.67850542,-0.00316319,-0.00520020
2,1040,890,61.50000000,0.03990405,87.56999969,0.00018337,4.32723045,-0.00178371,-0.00160034
2,1040,880,50.40000000,0.04805696,87.50000000,-0.00099129,4.77480459,-0.00180870,-0.00279999
2,1040,870,49.00000000,0.07588021,87.66999817,-0.00319993,5.17603207,-0.00080001,-0.00399994
2,1040,860,51.00000000,0.11217254,88.18000031,-0.00299041,5.32748079,0.00019042,-0.00279999
2,1040,850,47.80000000,0.12607959,88.90000153,-0.00054737,5.30695391,0.00134785,0.00080048
2,1040,840,50.40000000,0.11973260,89.55000305,0.00114567,5.18719101,0.00205471,0.00320038
2,1060,870,48.30000000,0.11197986,89.22000122,-0.00293097,5.47891760,0.00013099,-0.00279999
2,1060,880,51.30000000,0.07365032,88.62000275,-0.00299753,5.28535461,-0.00100210,-0.00399963
2,1060,890,60.20000000,0.04550944,88.40000153,-0.00085139,4.86670828,-0.00234838,-0.00319977
2,1060,900,60.50000000,0.03889032,88.44999695,-0.00007226,4.26023769,-0.00312812,-0.00320038
2,1060,910,55.90000000,0.05498071,88.76999664,-0.00223258,3.57272434,-0.00216806,-0.00440063
2,1060,920,47.90000000,0.09385654,89.48999786,-0.00380977,3.19472909,-0.00059056,-0.00440033
2,1060,930,50.30000000,0.12761857,90.62000275,-0.00251995,3.07139254,-0.00107960,-0.00359955
